ticker,tag
24CS,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
2S,"['INDUS', 'STEEL']"
BAT,"['INDUS', 'AUTO']"
7UP,"['RESOURC', 'ENERG']"
A,"['PROPCON', 'PROP']"
A5,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
AAI,"['AGRO', 'FOOD']"
AAV,"['SERVICE', 'TRANS', 'SET100']"
ABM,"['MAI', 'RESOURC-m', 'RESOURC-ms']"
ACAP,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
ACC,"['RESOURC', 'ENERG']"
ACE,"['RESOURC', 'ENERG', 'SET100']"
ACG,"['INDUS', 'AUTO']"
ADB,"['MAI', 'INDUS-m', 'INDUS-ms']"
ADD,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
ADVANC,"['TECH', 'ICT', 'SET50', 'SET100', 'SETHD']"
AEONTS,"['FINCIAL', 'FIN']"
AF,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
AFC,"['CONSUMP', 'FASHION']"
AGE,"['RESOURC', 'ENERG']"
AH,"['INDUS', 'AUTO']"
AHC,"['SERVICE', 'HELTH']"
AI,"['RESOURC', 'ENERG']"
AIE,"['RESOURC', 'ENERG']"
AIRA,"['MAI', 'FINCIAL-m', 'FINCIAL-ms']"
AIT,"['TECH', 'ICT']"
AJ,"['INDUS', 'PKG']"
AJA,"['CONSUMP', 'HOME']"
AKP,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
AKR,"['RESOURC', 'ENERG']"
ALL,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
ALLA,"['INDUS', 'IMM']"
ALPHAX,"['MAI', 'CONSUMP-m', 'CONSUMP-ms']"
ALT,"['TECH', 'ICT']"
ALUCON,"['INDUS', 'PKG']"
AMA,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
AMANAH,"['FINCIAL', 'FIN']"
AMARC,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
AMARIN,"['SERVICE', 'MEDIA']"
AMATA,"['PROPCON', 'PROP', 'SET100']"
AMATAV,"['PROPCON', 'PROP']"
AMC,"['INDUS', 'STEEL']"
AMR,"['TECH', 'ICT']"
ANAN,"['PROPCON', 'PROP']"
AOT,"['SERVICE', 'TRANS', 'SET50', 'SET100']"
AP,"['PROPCON', 'PROP', 'SET100', 'SETHD']"
APCO,"['CONSUMP', 'PERSON']"
APCS,"['PROPCON', 'CONS']"
APEX,"['PROPCON', 'PROP']"
APP,"['MAI', 'TECH-m', 'TECH-ms']"
APURE,"['AGRO', 'FOOD']"
AQ,"['PROPCON', 'PROP']"
AQUA,"['SERVICE', 'MEDIA']"
ARIN,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
ARIP,"['MAI', 'SERVICE-m', 'SERVICE-ms']"
ARROW,"['MAI', 'PROPCON-m', 'PROPCON-ms']"
