DATE,Non Farm Payrolls,CPI:US,CPI:CHINA,CPI:JAPAN,PCE,Real PCE,Industrial Production Index,Unemployment Rate,Treasury Yield: Money Market,Advance Retail Sales: Retail Trade
2018-01-01,147671,0.544774545277541,105.2,101.29804021379499,13620.1,12687.7,101.3561,4.0,,432148
2018-02-01,148049,0.45346899748655,106.5,101.29804021379499,13657.2,12696.1,101.6495,4.1,,434106
2018-03-01,148244,0.22611259041490397,105.3,100.99261898702,13725.0,12739.1,102.298,4.0,,433232
2018-04-01,148397,0.397509156334893,105.1,100.89081191142799,13809.3,12786.0,103.4095,4.0,,435610
2018-05-01,148667,0.4158916925435,104.9,101.094426062611,13872.1,12821.0,102.5408,3.8,,439996
2018-06-01,148881,0.159387570154372,104.9,100.99261898702,13912.9,12842.2,103.3045,4.0,,438191
2018-07-01,149030,0.0067463262285171605,105.2,100.99261898702,13962.6,12878.0,103.5474,3.8,,440703
2018-08-01,149259,0.0555542328357295,105.9,101.60346144056999,14014.5,12918.1,104.1659,3.8,,439278
2018-09-01,149364,0.116202517589025,106.6,101.705268516162,14030.7,12905.7,104.1315,3.7,,438985
2018-10-01,149576,0.176676345572587,106.8,102.01068974293699,14119.6,12960.5,103.9874,3.8,,444038
2018-11-01,149668,-0.33493485181009697,106.4,101.807075591754,14187.8,13014.0,103.9127,3.8,,445242
2018-12-01,149908,-0.319396281513109,106.5,101.50165436497801,14050.6,12892.0,103.867,3.9,,434803
2019-01-01,150145,0.19065966652468397,107.0,101.50165436497801,14104.4,12948.5,103.3023,4.0,,440751
2019-02-01,150095,0.422705314009692,108.1,101.50165436497801,14117.9,12948.2,102.728,3.8,,439996
2019-03-01,150263,0.564135835680577,107.7,101.50165436497801,14244.4,13028.8,102.8635,3.8,,447167
2019-04-01,150482,0.529500161289074,107.8,101.807075591754,14329.3,13055.6,102.2543,3.7,,448709
2019-05-01,150545,0.21287585893841102,107.8,101.807075591754,14372.2,13086.5,102.4519,3.7,,449552
2019-06-01,150720,0.0199147181481604,107.7,101.60346144056999,14425.7,13124.2,102.384,3.6,,450927
2019-07-01,150913,0.16709416224533802,108.1,101.60346144056999,14487.4,13161.9,102.0568,3.6,,454012
2019-08-01,151108,-0.00506682360828189,108.9,101.807075591754,14536.4,13199.4,102.6882,3.7,,456500
2019-09-01,151329,0.0783448576930001,109.8,101.90888266734501,14564.7,13215.4,102.3143,3.5,,452849
2019-10-01,151524,0.22861905522300002,110.8,102.214303894121,14607.9,13223.1,101.4645,3.6,,455486
2019-11-01,151758,-0.0536243034669465,111.2,102.31611096971201,14667.6,13266.6,101.9876,3.6,,457658
2019-12-01,151919,-0.0909769525053793,111.2,102.31611096971201,14686.3,13257.2,101.6179,3.6,,458055
2020-01-01,152234,0.38797699378148703,112.8,102.31611096971201,14769.9,13307.3,101.0918,3.5,,460586
2020-02-01,152523,0.274061813149543,113.7,102.112496818529,14785.1,13313.2,101.3247,3.5,,459610
2020-03-01,150840,-0.21764510317847896,112.3,102.112496818529,13762.2,12422.9,97.4477,4.4,,434281
2020-04-01,130161,-0.668694186699718,111.3,102.01068974293699,12021.8,10910.6,84.2018,14.8,,379892
2020-05-01,132994,0.00195016166840463,110.4,101.90888266734501,13058.1,11833.0,85.8434,13.3,,444631
2020-06-01,137840,0.5472046927775109,110.4,101.705268516162,13889.3,12525.6,91.1622,11.1,,475723
2020-07-01,139566,0.5058243501670089,110.0,101.807075591754,14129.2,12706.4,94.8887,10.2,,481303
2020-08-01,141149,0.315321052408127,111.5,101.90888266734501,14270.5,12793.5,95.8924,8.4,,483422
2020-09-01,141865,0.13927469432666,111.7,101.705268516162,14481.7,12962.5,95.6019,7.8,,493411
2020-10-01,142545,0.0414937759336148,111.4,101.60346144056999,14546.0,13015.6,96.6454,6.9,,492684
2020-11-01,142809,-0.0610627217844138,110.7,101.29804021379499,14467.3,12943.5,97.1609,6.7,,488652
2020-12-01,142503,0.0941478467042597,111.5,101.094426062611,14389.5,12824.6,98.2854,6.7,,484782
2021-01-01,142736,0.425378348702726,112.55,101.60346144056999,14857.9,13201.3,99.4076,6.3,,520162
2021-02-01,143272,0.547438279392344,113.219276511397,101.60346144056999,14699.6,13025.4,96.3966,6.2,,504458
2021-03-01,144057,0.7083273133749509,112.661546085233,101.705268516162,15458.9,13621.3,99.1618,6.0,,559871
2021-04-01,144326,0.821890915406006,112.326907829534,100.89081191142799,15618.7,13684.0,99.2416,6.1,0.07,562269
2021-05-01,144940,0.80171051547627,112.21536174430099,101.19623313820298,15624.4,13616.2,99.9226,5.8,0.06,550781
2021-06-01,145902,0.9290662902357041,111.76917740337,101.29804021379499,15802.0,13696.6,100.4363,5.9,0.05,554388
2021-07-01,146993,0.481052352629404,112.10381565906799,101.50165436497801,15804.8,13647.4,101.258,5.4,0.08,543191
2021-08-01,147476,0.20659113636116103,112.21536174430099,101.50165436497801,15975.8,13742.9,101.2637,5.2,0.08,550293
2021-09-01,147788,0.27159708590582105,112.21536174430099,101.90888266734501,16076.4,13780.9,99.9794,4.8,0.06,555135
2021-10-01,148319,,,,16290.7,13876.9,101.611,4.6,0.06,565767
