DATE,GDP,Real GDP,E-Commerce Retail Sales,Capital Expenditures
2018-01-01,20143.716,18436.262,121570.0,5592653.0
2018-04-01,20492.492,18590.004,125386.0,5679983.0
2018-07-01,20659.102,18679.599,127471.0,5765718.0
2018-10-01,20813.325,18721.281000000003,130743.0,5800241.0
2019-01-01,21001.591,18833.195,135629.0,5902766.0
2019-04-01,21289.267999999996,18982.528000000002,141716.0,5990627.0
2019-07-01,21505.012000000002,19112.653000000002,147965.0,6031483.0
2019-10-01,21694.458,19202.31,151218.0,5993572.0
2020-01-01,21481.367000000002,18951.992,154575.0,5914462.0
2020-04-01,19477.444,17258.205,203847.0,5315498.0
2020-07-01,21138.574,18560.773999999998,201385.0,6131615.0
2020-10-01,21477.597,18767.778000000002,199665.0,6365736.0
2021-01-01,22038.226000000002,19055.655,215290.0,6550753.0
2021-04-01,22740.959,19368.31,221951.0,6673177.0
2021-07-01,23187.042,19469.398,214586.0,
