fund,feeder_fund,region,percent_asset,category_average,timestamp
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,Americas,60.92,61.76,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,United States,57.54,59.75,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,Canada,3.38,1.24,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,Latin America,0.0,0.77,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,Greater Asia,0.0,0.0,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,Greater Europe,16.29,11.09,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,Eurozone,16.29,11.09,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,Americas,50.72,60.52,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,United States,45.24,59.75,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,Latin America,5.48,0.77,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,Greater Asia,4.03,3.71,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,Japan,4.03,3.71,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,Greater Europe,24.03,17.5,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,Eurozone,13.44,11.09,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,Europe - ex Euro,10.59,6.41,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,Americas,98.36,92.99,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,United States,90.02,92.08,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,Canada,8.34,0.82,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,Latin America,0.0,0.09,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,Greater Asia,0.0,0.0,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,Greater Europe,0.0,1.27,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,United Kingdom,0.0,0.21,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,Eurozone,0.0,0.65,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,Europe - ex Euro,0.0,0.41,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,Americas,69.06,59.75,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,United States,69.06,59.75,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,Greater Asia,2.12,3.71,2021-12-08
