fund,feeder_fund,ticker,market,full_name,1yr_change,percent_asset,timestamp
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,MRNA,NSQ,Moderna Inc,77.0,6.36,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,AMZN,NSQ,Amazon.com Inc,11.57,5.57,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,TSLA,NSQ,Tesla Inc,63.89,4.74,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,3690,HKG,Meituan,-13.21,4.48,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,ASML,AEX,ASML Holding NV,85.47,4.45,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,NVDA,NSQ,NVIDIA Corp,138.32,4.44,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,ILMN,NSQ,Illumina Inc,7.76,4.31,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,NFLX,NSQ,Netflix Inc,21.29,3.88,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,700,HKG,Tencent Holdings Ltd,-19.35,3.81,2021-12-08
ONE-UGG-RA,Baillie Gifford Worldwide Long Term Global Growth Fund Class B USD Acc,DXCM,NSQ,Dexcom Inc,65.5,3.72,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,MRNA,NSQ,Moderna Inc,77.0,9.06,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,ASML,AEX,ASML Holding NV,85.47,7.9,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,2330,TAI,Taiwan Semiconductor Manufacturing Co Ltd,15.84,6.27,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,MELI,NSQ,Mercadolibre Inc,-25.22,5.48,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,TSLA,NSQ,Tesla Inc,63.89,5.29,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,DXCM,NSQ,Dexcom Inc,65.5,4.94,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,ILMN,NSQ,Illumina Inc,7.76,4.21,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,2413,TYO,M3 Inc,-31.64,4.03,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,UMI,BRU,Umicore NV/SA,21.19,3.51,2021-12-08
K-CHANGE-A,Baillie Gifford Positive Change Fund B Accumulation,ORSTED,CPH,Orsted A/S,-18.81,3.47,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,SHOP,TOR,Shopify Inc,38.88,8.34,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,MRNA,NSQ,Moderna Inc,77.0,7.82,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,TSLA,NSQ,Tesla Inc,63.89,5.04,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,TTD,NMQ,Trade Desk Inc,4.88,4.95,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,W,NYQ,Wayfair Inc,-2.77,4.84,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,AMZN,NSQ,Amazon.com Inc,11.57,4.34,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,NFLX,NSQ,Netflix Inc,21.29,3.8,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,ROKU,NSQ,Roku Inc,-27.8,3.56,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,TWLO,NYQ,Twilio Inc,-14.22,3.49,2021-12-08
KFUS-A,Baillie Gifford Worldwide US Equity Growth Fund Class B USD Acc,ILMN,NSQ,Illumina Inc,7.76,2.84,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,MSFT,NSQ,Microsoft Corp,56.29,4.83,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,,,Alphabet Inc Class C,62.74,4.12,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,AMZN,NSQ,Amazon.com Inc,11.57,3.13,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,FB,NSQ,Meta Platforms Inc,13.04,2.19,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,JPM,NYQ,JPMorgan Chase & Co,33.39,1.98,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,2330,TAI,Taiwan Semiconductor Manufacturing Co Ltd,15.84,1.74,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,CRM,NYQ,Salesforce.Com Inc,17.26,1.73,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,UNH,NYQ,UnitedHealth Group Inc,33.6,1.73,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,LLY,NYQ,Eli Lilly and Co,66.27,1.65,2021-12-08
TMBGQG,Wellington Global Quality Growth Fund USD Class S Ac,ARES,NYQ,Ares Management Corp,69.65,1.64,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,,,Alphabet Inc Class C,62.74,3.6,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,AAPL,NSQ,Apple Inc,38.33,2.96,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,MSFT,NSQ,Microsoft Corp,56.29,2.86,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,FB,NSQ,Meta Platforms Inc,13.04,2.04,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,AMZN,NSQ,Amazon.com Inc,11.57,1.52,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,ASML,AEX,ASML Holding NV,85.47,1.4,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,JNJ,NYQ,Johnson & Johnson,9.66,1.25,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,PYPL,NSQ,PayPal Holdings Inc,-12.35,1.15,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,ABBV,NYQ,Abbvie Inc,14.81,1.14,2021-12-08
TMB-ES-GCORE,Goldman Sachs Global CORE Equity Portfolio I Acc USD Close,INTU,NSQ,Intuit Inc,80.9,1.12,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,SNOW,NYQ,Snowflake Inc.,-6.61,6.26,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,TWTR,NYQ,Twitter Inc,-7.18,5.88,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,SQ,NYQ,Square Inc,-10.85,5.79,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,VEEV,NYQ,Veeva Systems Inc,0.84,5.22,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,TWLO,NYQ,Twilio Inc,-14.22,5.03,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,SQ,NYQ,Intuitive Surgical IncISRG:NSQ,33.63,3.97,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,SNAP,NYQ,Snap Inc,1.92,3.87,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,SQ,NYQ,Zoom Video Communications IncZM:NSQ,-53.64,3.61,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,,,ASML Holding NV ADR,71.7,3.59,2021-12-08
K-USA-A,Morgan Stanley Investment Funds - US Advantage Fund A,SQ,NYQ,Datadog IncDDOG:NSQ,78.51,2.98,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,EFX,NYQ,Equifax Inc,70.85,2.99,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,IDXX,NSQ,IDEXX Laboratories Inc,33.1,2.97,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,ABMD,NSQ,ABIOMED Inc,17.99,2.78,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,CYB,FRA,Cyberark Software Ltd,48.43,2.77,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,ZS,NSQ,Zscaler Inc,67.18,2.77,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,TMO,NYQ,Thermo Fisher Scientific Inc,32.95,2.77,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,GNTX,NSQ,Gentex Corp,5.01,2.69,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,HEI,NYQ,HEICO Corp,6.03,2.67,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,MTD,NYQ,Mettler-Toledo International Inc,39.19,2.63,2021-12-08
WE-GSECURE,CS Investment Funds 2 - Credit Suisse (Lux) Security Equity Fund B USD,VRSK,NSQ,Verisk Analytics Inc,15.94,2.6,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,MSFT,NSQ,Microsoft Corp,56.29,9.49,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,PM,NYQ,Philip Morris International Inc,10.69,8.54,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,RKT,LSE,Reckitt Benckiser Group PLC,-3.72,6.42,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,V,NYQ,Visa Inc,-2.48,5.24,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,DHR,NYQ,Danaher Corp,38.56,4.83,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,ACN,NYQ,Accenture PLC,48.95,4.76,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,TMO,NYQ,Thermo Fisher Scientific Inc,32.95,4.75,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,PG,NYQ,Procter & Gamble Co,10.22,4.51,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,SAPX,GER,SAP SE,17.62,4.41,2021-12-08
KFGBRAND-A,Morgan Stanley Investment Funds - Global Brands Fund Z,ABT,NYQ,Abbott Laboratories,23.55,4.33,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,700,HKG,Tencent Holdings Ltd,-19.45,10.45,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,600519,SHH,Kweichow Moutai Co Ltd,8.92,6.83,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,M4B,BER,China Merchants Bank Co Ltd,43.49,5.39,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,BABA,NYQ,Alibaba Group Holding Ltd,-52.45,5.09,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,PZX,BER,Ping An Insurance Group Co of China Ltd,-36.52,4.5,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,,,NetEase Inc ADR,19.73,4.46,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,388,HKG,Hong Kong Exchanges and Clearing Ltd,23.07,4.28,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,2331,HKG,Li Ning Co Ltd,108.93,4.25,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,9988,HKG,Alibaba Group Holding Ltd,-53.22,3.87,2021-12-08
TMBCOF,UBS (Lux) Equity Fund - China Opportunity (USD) I-A1-acc,1093,HKG,CSPC Pharmaceutical Group Ltd,8.05,3.64,2021-12-08
KT-Ashares-A,Allianz Global Investors Fund - Allianz China A Shares PT USD,,,Contemporary Amperex Technology Co Ltd Class A,136.44,5.13,2021-12-08
KT-Ashares-A,Allianz Global Investors Fund - Allianz China A Shares PT USD,,,East Money Information Co Ltd,51.66,3.18,2021-12-08
KT-Ashares-A,Allianz Global Investors Fund - Allianz China A Shares PT USD,600809,SHH,Shanxi Xinghuacun Fen Wine Factory Co Ltd,73.71,3.1,2021-12-08
KT-Ashares-A,Allianz Global Investors Fund - Allianz China A Shares PT USD,600030,SHH,CITIC Securities Co Ltd,-12.13,3.1,2021-12-08
KT-Ashares-A,Allianz Global Investors Fund - Allianz China A Shares PT USD,,,Yunnan Energy New Material Co Ltd A,122.17,2.9,2021-12-08
KT-Ashares-A,Allianz Global Investors Fund - Allianz China A Shares PT USD,,,Wuliangye Yibin Co Ltd,-13.97,2.87,2021-12-08
