full_name,portfolio_weight
Tesla Inc,1.4584
Shopify Inc,1.2985
Moderna Inc,1.2473
Amazon.com Inc,1.1028
Tencent Holdings Ltd,1.026
Contemporary Amperex Technology Co Ltd Class A,0.8915
ASML Holding NV,0.8835999999999999
Illumina Inc,0.8119999999999999
Microsoft Corp,0.7664
Thermo Fisher Scientific Inc,0.7152000000000001
Philip Morris International Inc,0.6856
Alibaba Group Holding Ltd,0.6012
China Merchants Bank Co Ltd,0.5993999999999999
UnitedHealth Group Inc,0.5976
Reckitt Benckiser Group PLC,0.5824
Square Inc,0.5519
NVIDIA Corp,0.5388000000000001
Intuitive Surgical Inc,0.5306
Twitter Inc,0.5019
Meituan,0.5015999999999999
Xpeng Inc,0.496
Twilio Inc,0.4945
Li Auto Inc,0.4765
Spotify Technology SA,0.4668
Kering SA,0.4536
Visa Inc,0.4368
NIO Inc,0.435
East Money Information Co Ltd,0.4104
Kweichow Moutai Co Ltd,0.40259999999999996
Shanxi Xinghuacun Fen Wine Factory Co Ltd,0.3996
Zoom Video Communications Inc,0.3975
BYD Co Ltd,0.3925
Yunnan Energy New Material Co Ltd A,0.38880000000000003
CITIC Securities Co Ltd,0.3732
SAP SE,0.3704
Wuliangye Yibin Co Ltd,0.3588
Roche Holding AG,0.3544
Hangzhou Tigermed Consulting Co Ltd Class A,0.35400000000000004
Danaher Corp,0.35359999999999997
Roku Inc,0.352
Accenture PLC,0.3496
Veeva Systems Inc,0.34509999999999996
Procter & Gamble Co,0.344
Abbott Laboratories,0.3344
Asymchem Laboratories Tianjin Co Ltd,0.33
Teladoc Health Inc,0.3174
Ping An Insurance Group Co of China Ltd,0.3174
Will Semiconductor Co Ltd Shanghai,0.3096
Coinbase Global Inc,0.3014
NetEase Inc ADR,0.2982
AstraZeneca PLC,0.2928
Novo Nordisk A/S,0.2784
Eli Lilly and Co,0.2752
China Longyuan Power Group Corp Ltd,0.271
Hong Kong Exchanges and Clearing Ltd,0.25980000000000003
China Conch Venture Holdings Ltd,0.2525
Li Ning Co Ltd,0.24960000000000002
LONGi Green Energy Technology Co Ltd Class A,0.24700000000000003
Taiwan Semiconductor Manufacturing Co Ltd,0.2464
Unity Software Inc,0.2417
Snowflake Inc.,0.23870000000000002
Johnson & Johnson,0.2376
Bristol-Myers Squibb Co,0.2352
Mercadolibre Inc,0.22760000000000002
Centene Corp,0.2168
CSPC Pharmaceutical Group Ltd,0.2112
ONEOK Inc,0.20600000000000002
Xinyi Solar Holdings Ltd,0.205
Cheniere Energy Inc,0.18350000000000002
Dexcom Inc,0.17920000000000003
Crown Castle International Corp,0.17549999999999996
Vinci SA,0.17450000000000002
Kinder Morgan Inc,0.16899999999999998
Enbridge Inc,0.159
Cellnex Telecom SA,0.1585
Trade Desk Inc,0.1578
Orsted A/S,0.156
Nibe Industrier AB,0.1512
Wayfair Inc,0.1494
Williams Companies Inc,0.149
Zhuzhou CRRC Times Electric Co Ltd,0.14550000000000002
Umicore NV/SA,0.1452
American Tower Corp,0.143
Grayscale Bitcoin Trust (BTC),0.1422
Eiffage SA,0.1405
Nordex SE,0.10949999999999999
Netflix Inc,0.10800000000000001
Zillow Group Inc,0.09899999999999999
SkiStar AB,0.09600000000000002
Bankinter SA,0.09570000000000001
TKH Group NV,0.0852
Peugeot Invest SA,0.08129999999999998
Signify NV,0.08070000000000001
Kwg Living Group Holdings Ltd,0.0782
De' Longhi SpA,0.07769999999999999
Also Holding AG,0.0759
360 DigiTech Inc,0.0748
CM.com NV,0.0744
Hugo Boss AG,0.0696
Ginlong Technologies Co Ltd Class A,0.061399999999999996
Alchip Technologies Ltd,0.0554
KWG Group Holdings Ltd,0.052199999999999996
China MeiDong Auto Holdings Ltd,0.049800000000000004
Estun Automation Co Ltd A,0.048799999999999996
China Yongda Automobiles Services Holdings Ltd,0.0482
Pharmaron Beijing Co Ltd,0.047
Xtep International Holdings Ltd,0.046799999999999994
